Day,Date,Start Page,End Page,Pages Read,Book ,Total Pages,Read
1,01 Jul 2019,20,20,0,"""Варкрафт: Хроники. Энциклопедия. Том 1"" by Blizzard Entertainment",176,11%
2,02 Jul 2019,20,20,0,"""Варкрафт: Хроники. Энциклопедия. Том 1"" by Blizzard Entertainment",176,11%
3,03 Jul 2019,94,124,30,"""Один день Ивана Денисовича"" by Aleksandr Solzhenitsyn",188,66%
4,04 Jul 2019,124,188,64,"""Один день Ивана Денисовича"" by Aleksandr Solzhenitsyn",188,100%
5,05 Jul 2019,1,37,36,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,6%
6,06 Jul 2019,37,52,15,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,9%
7,07 Jul 2019,52,85,33,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,14%
8,08 Jul 2019,85,143,58,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,24%
9,09 Jul 2019,143,200,57,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,34%
10,10 Jul 2019,200,230,30,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,39%
11,11 Jul 2019,230,250,20,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,42%
12,12 Jul 2019,250,300,50,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,51%
13,13 Jul 2019,300,328,28,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,55%
14,14 Jul 2019,328,343,15,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,58%
15,15 Jul 2019,343,420,77,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,71%
16,16 Jul 2019,420,456,36,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,77%
17,17 Jul 2019,456,496,40,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,84%
18,18 Jul 2019,496,538,42,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,91%
19,19 Jul 2019,538,594,56,"""Илон Маск: Tesla, SpaceX и дорога в будущее"" by Ashlee Vance",594,100%
20,20 Jul 2019,3,12,9,"""Зов Ктулху (сборник)"" by H.P. Lovecraft",414,3%
21,21 Jul 2019,12,21,9,"""Зов Ктулху (сборник)"" by H.P. Lovecraft",414,5%
22,22 Jul 2019,21,31,10,"""Зов Ктулху (сборник)"" by H.P. Lovecraft",414,7%
23,23 Jul 2019,31,40,9,"""Зов Ктулху (сборник)"" by H.P. Lovecraft",414,10%
24,24 Jul 2019,40,53,13,"""Зов Ктулху (сборник)"" by H.P. Lovecraft",414,13%
25,25 Jul 2019,53,73,20,"""Зов Ктулху (сборник)"" by H.P. Lovecraft",414,18%
26,26 Jul 2019,73,91,18,"""Зов Ктулху (сборник)"" by H.P. Lovecraft",414,22%
27,27 Jul 2019,1,16,15,"""Discipline Equals Freedom: Field Manual"" by Jocko Willink",199,8%
28,28 Jul 2019,16,31,15,"""Discipline Equals Freedom: Field Manual"" by Jocko Willink",199,16%
29,29 Jul 2019,31,48,17,"""Discipline Equals Freedom: Field Manual"" by Jocko Willink",199,24%
30,30 Jul 2019,48,72,24,"""Discipline Equals Freedom: Field Manual"" by Jocko Willink",199,36%
31,31 Jul 2019,72,199,127,"""Discipline Equals Freedom: Field Manual"" by Jocko Willink",199,100%
