Day,Date,Start Page,End Page,Pages Read,Book ,Total Pages,Read
1,01 Oct 2019,155,183,28,"""1984"" by George Orwell",428,43%
2,02 Oct 2019,183,210,27,"""1984"" by George Orwell",428,49%
3,03 Oct 2019,210,230,20,"""1984"" by George Orwell",428,54%
4,04 Oct 2019,230,260,30,"""1984"" by George Orwell",428,61%
5,05 Oct 2019,260,275,15,"""1984"" by George Orwell",428,64%
6,06 Oct 2019,275,290,15,"""1984"" by George Orwell",428,68%
7,07 Oct 2019,290,310,20,"""1984"" by George Orwell",428,72%
8,08 Oct 2019,310,330,20,"""1984"" by George Orwell",428,77%
9,09 Oct 2019,330,350,20,"""1984"" by George Orwell",428,82%
10,10 Oct 2019,350,380,30,"""1984"" by George Orwell",428,89%
11,11 Oct 2019,380,395,15,"""1984"" by George Orwell",428,92%
12,12 Oct 2019,395,428,33,"""1984"" by George Orwell",428,100%
13,13 Oct 2019,1,16,15,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,2%
14,14 Oct 2019,16,40,24,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,6%
15,15 Oct 2019,40,60,20,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,9%
16,16 Oct 2019,60,80,20,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,12%
17,17 Oct 2019,80,100,20,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,15%
18,18 Oct 2019,100,120,20,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,18%
19,19 Oct 2019,120,220,100,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,32%
20,20 Oct 2019,220,255,35,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,37%
21,21 Oct 2019,255,300,45,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,44%
22,22 Oct 2019,300,320,20,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,47%
23,23 Oct 2019,320,350,30,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,51%
24,24 Oct 2019,350,400,50,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,59%
25,25 Oct 2019,400,445,45,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,65%
26,26 Oct 2019,445,465,20,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,68%
27,27 Oct 2019,465,540,75,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,79%
28,28 Oct 2019,540,600,60,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,88%
29,29 Oct 2019,600,616,16,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,90%
30,30 Oct 2019,616,651,35,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,96%
31,31 Oct 2019,651,681,30,"""Мастер и Маргарита"" by Mikhail Bulgakov",681,100%
